"Source:","C:\Users\shriy\Documents\GitHub\emshilton-clock\clock\clock.kicad_sch"
"Date:","7/12/2022 1:10:35 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Users\shriy\Desktop\GOOGLE\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage","automotive","category","device class L1","device class L2","device class L3","digikey description","digikey part number","display type","element config","forward current","forward voltage","height","lead free","library id","luminous intensity","manufacturer","mouser description","mouser part number","package","power dissipation","reverse voltage","rohs","temperature range high","temperature range low","test current"
"","","SW2","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW3","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW4","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW5","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U2","L7805","HPS:L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U3","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U4","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Y1","16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
